short_name,age,overall,value_eur,wage_eur,pace,shooting,passing,defending
Lucas Lima,30.0,72.0,2000000.0,23000.0,72.0,57.0,71.0,66.0
A. Yiadom,30.0,72.0,2000000.0,14000.0,80.0,53.0,61.0,68.0
D. Kourbelis,28.0,72.0,2100000.0,650.0,75.0,52.0,64.0,70.0
M. Eriksson,32.0,72.0,1800000.0,7000.0,51.0,69.0,75.0,53.0
R. PrÃ¶pper,28.0,72.0,2200000.0,10000.0,48.0,53.0,61.0,72.0
S. Byram,28.0,72.0,2100000.0,29000.0,74.0,57.0,64.0,70.0
T. Haye,27.0,72.0,2700000.0,7000.0,58.0,63.0,76.0,57.0
B. Hrgota,29.0,72.0,2300000.0,10000.0,75.0,74.0,65.0,25.0
F. Tardieu,30.0,72.0,2000000.0,13000.0,48.0,63.0,70.0,68.0
R. Thelander,30.0,72.0,1900000.0,750.0,45.0,30.0,46.0,71.0
A. Cadavid,36.0,72.0,425000.0,2000.0,31.0,63.0,53.0,71.0
S. Schrijvers,25.0,72.0,3100000.0,11000.0,67.0,72.0,72.0,62.0
Carlinhos,28.0,72.0,2300000.0,7000.0,68.0,68.0,72.0,55.0
Quini,32.0,72.0,1600000.0,8000.0,71.0,60.0,65.0,69.0
A. TourÃ©,28.0,72.0,2300000.0,4000.0,39.0,56.0,59.0,74.0
M. Prietl,30.0,72.0,2000000.0,13000.0,64.0,51.0,61.0,70.0
Jordi QuintillÃ ,28.0,72.0,2100000.0,9000.0,68.0,68.0,73.0,65.0
P. De Blasis,34.0,72.0,1100000.0,7000.0,71.0,72.0,68.0,63.0
B. Osborn,27.0,72.0,2300000.0,19000.0,71.0,65.0,71.0,65.0
De La Hoz,30.0,72.0,2000000.0,17000.0,52.0,58.0,62.0,70.0
B. Dack,28.0,72.0,2400000.0,31000.0,70.0,70.0,71.0,53.0
M. Boyle,29.0,72.0,2300000.0,7000.0,92.0,69.0,62.0,45.0
N. Mushekwi,34.0,72.0,1100000.0,9000.0,78.0,71.0,53.0,31.0
M. Benassi,27.0,72.0,2500000.0,33000.0,54.0,70.0,71.0,70.0
L. Baker,27.0,72.0,2700000.0,21000.0,66.0,69.0,72.0,66.0
F. Barba,28.0,72.0,2200000.0,4000.0,69.0,30.0,57.0,73.0
D. KÄ…dzior,30.0,72.0,2300000.0,9000.0,89.0,68.0,69.0,46.0
N. Gavory,27.0,72.0,2300000.0,16000.0,66.0,62.0,70.0,68.0
M. Lowe,25.0,72.0,3200000.0,18000.0,80.0,46.0,63.0,69.0
Ivan Cavaleiro,28.0,72.0,2400000.0,38000.0,82.0,70.0,66.0,37.0
C. Njie,28.0,72.0,2400000.0,15000.0,84.0,68.0,63.0,32.0
J. O'Connell,28.0,72.0,2400000.0,20000.0,55.0,37.0,63.0,72.0
J. Meffert,27.0,72.0,2400000.0,10000.0,54.0,48.0,64.0,71.0
R. Insigne,28.0,72.0,2400000.0,4000.0,82.0,65.0,71.0,27.0
J. Souttar,25.0,72.0,2900000.0,30000.0,66.0,44.0,58.0,71.0
M. Chanot,32.0,72.0,1500000.0,6000.0,51.0,49.0,48.0,71.0
W. Cyprien,27.0,72.0,2400000.0,4000.0,64.0,69.0,71.0,70.0
L. Depoitre,33.0,72.0,1500000.0,18000.0,51.0,71.0,62.0,45.0
K. Acosta,26.0,72.0,2700000.0,7000.0,76.0,67.0,72.0,66.0
C. Akpom,26.0,72.0,3100000.0,23000.0,83.0,71.0,53.0,29.0
F. Ferreyra,31.0,72.0,2000000.0,12000.0,59.0,73.0,59.0,30.0
F. Mora,28.0,72.0,2400000.0,8000.0,78.0,71.0,55.0,27.0
J. Rothwell,27.0,72.0,2700000.0,32000.0,77.0,62.0,70.0,60.0
K. Sema,28.0,72.0,2400000.0,34000.0,78.0,66.0,70.0,60.0
A. Mowatt,27.0,72.0,2500000.0,24000.0,56.0,69.0,72.0,64.0
Aketxe,28.0,72.0,2400000.0,9000.0,60.0,77.0,78.0,44.0
D. Biraschi,27.0,72.0,2500000.0,4000.0,61.0,36.0,61.0,75.0
S. OtÃ¡lvaro,35.0,72.0,725000.0,500.0,74.0,54.0,71.0,68.0
R. PÃ©rez,32.0,72.0,1500000.0,11000.0,59.0,43.0,51.0,70.0
E. Pavez,32.0,72.0,1600000.0,5000.0,79.0,65.0,68.0,67.0
M. Rangel,31.0,72.0,2000000.0,4000.0,54.0,76.0,59.0,36.0
F. Aguilar,29.0,72.0,2000000.0,12000.0,48.0,40.0,48.0,75.0
D. Banguero,32.0,72.0,1600000.0,4000.0,78.0,58.0,63.0,67.0
F. Hinestroza,32.0,72.0,1900000.0,4000.0,88.0,63.0,67.0,43.0
M. Cuero,29.0,72.0,2300000.0,12000.0,90.0,67.0,65.0,28.0
J. Duque,35.0,72.0,1000000.0,4000.0,62.0,76.0,57.0,27.0
Postigo,33.0,72.0,1100000.0,9000.0,66.0,46.0,53.0,73.0
J. KarlstrÃ¶m,27.0,72.0,2500000.0,8000.0,67.0,54.0,65.0,69.0
P. Rubio,33.0,72.0,1500000.0,7000.0,72.0,71.0,62.0,27.0
S. Schonlau,27.0,72.0,2400000.0,10000.0,58.0,41.0,53.0,74.0
E. Mas,33.0,72.0,1200000.0,9000.0,78.0,60.0,64.0,69.0
L. VillafaÃ±ez,30.0,72.0,2300000.0,950.0,73.0,67.0,72.0,42.0
M. CatalÃ¡n,29.0,72.0,2000000.0,11000.0,84.0,58.0,63.0,72.0
B. Bianchi,33.0,72.0,1100000.0,9000.0,59.0,35.0,56.0,72.0
P. PÃ©rez,36.0,72.0,750000.0,9000.0,54.0,66.0,73.0,70.0
H. Villalba,27.0,72.0,2500000.0,750.0,88.0,71.0,65.0,45.0
M. BÃ­ttolo,32.0,72.0,1600000.0,10000.0,76.0,46.0,70.0,67.0
R. Botta,32.0,72.0,1900000.0,4000.0,80.0,72.0,72.0,38.0
M. Miazga,26.0,72.0,2600000.0,6000.0,48.0,26.0,47.0,73.0
A. Jahanbakhsh,28.0,72.0,2400000.0,10000.0,77.0,72.0,68.0,43.0
P. Mainka,27.0,72.0,2400000.0,16000.0,55.0,40.0,51.0,74.0
D. AntoliÄ‡,31.0,72.0,1900000.0,16000.0,55.0,69.0,74.0,68.0
Wallace,27.0,72.0,2500000.0,13000.0,68.0,28.0,44.0,71.0
A. Browne,27.0,72.0,2500000.0,24000.0,75.0,69.0,69.0,69.0
H. Menosse,35.0,72.0,625000.0,500.0,50.0,44.0,43.0,75.0
Carlos ManÃ©,28.0,72.0,2400000.0,15000.0,90.0,67.0,65.0,41.0
M. Thiam,29.0,72.0,2300000.0,14000.0,75.0,72.0,66.0,26.0
L. Lerager,28.0,72.0,2300000.0,18000.0,55.0,67.0,68.0,71.0
A. Hjulsager,27.0,72.0,2700000.0,16000.0,71.0,68.0,71.0,62.0
M. Samatta,29.0,72.0,2300000.0,45000.0,84.0,70.0,63.0,31.0
D. Ndong,28.0,72.0,2300000.0,6000.0,70.0,59.0,66.0,68.0
Dani Calvo,28.0,72.0,2400000.0,8000.0,52.0,46.0,56.0,72.0
F. Zampano,28.0,72.0,2100000.0,4000.0,79.0,45.0,66.0,64.0
P. Ciurria,27.0,72.0,2700000.0,34000.0,76.0,71.0,67.0,31.0
S. Klaiber,27.0,72.0,2300000.0,11000.0,79.0,63.0,68.0,68.0
A. Ferrari,28.0,72.0,2200000.0,14000.0,63.0,35.0,51.0,74.0
L. Henderson,26.0,72.0,3000000.0,9000.0,73.0,64.0,69.0,65.0
P. Ceccaroni,26.0,72.0,2700000.0,4000.0,69.0,30.0,52.0,74.0
N. Orsini,27.0,72.0,2500000.0,13000.0,79.0,71.0,57.0,31.0
Iza CarcelÃ©n,29.0,72.0,2100000.0,19000.0,77.0,58.0,68.0,67.0
F. Mattiello,26.0,72.0,2300000.0,7000.0,72.0,64.0,70.0,69.0
A. Grassi,27.0,72.0,2700000.0,4000.0,64.0,63.0,70.0,67.0
L. Venuti,27.0,72.0,2500000.0,30000.0,72.0,26.0,61.0,68.0
F. Ricci,28.0,72.0,2400000.0,3000.0,81.0,62.0,66.0,47.0
G. WÃ¼thrich,27.0,72.0,2500000.0,14000.0,53.0,35.0,51.0,71.0
D. Machado,28.0,72.0,2100000.0,21000.0,84.0,55.0,64.0,65.0
N. Eliasson,26.0,72.0,2800000.0,950.0,88.0,60.0,68.0,38.0
B. Ndiaye,31.0,72.0,1900000.0,16000.0,82.0,69.0,68.0,70.0
M. Barrios,31.0,72.0,1900000.0,7000.0,85.0,66.0,66.0,41.0
A. PÃ©rez,28.0,72.0,2400000.0,11000.0,68.0,33.0,52.0,72.0
J. OnguÃ©nÃ©,24.0,72.0,3400000.0,15000.0,72.0,38.0,49.0,71.0
Lee Chang Min,28.0,72.0,2300000.0,7000.0,67.0,67.0,69.0,61.0
Y. Cabrera,31.0,72.0,1900000.0,4000.0,75.0,65.0,69.0,50.0
M. Clarke,25.0,72.0,2900000.0,18000.0,52.0,37.0,53.0,71.0
E. Thommy,27.0,72.0,2500000.0,7000.0,77.0,69.0,70.0,33.0
C. Gruezo,27.0,72.0,2700000.0,18000.0,61.0,46.0,61.0,68.0
P. Seguin,27.0,72.0,2700000.0,21000.0,61.0,59.0,68.0,68.0
P. Michorl,27.0,72.0,2500000.0,19000.0,67.0,66.0,75.0,64.0
J. Torres,25.0,72.0,3300000.0,10000.0,61.0,71.0,54.0,23.0
L. Di PlÃ¡cido,28.0,72.0,2100000.0,12000.0,86.0,60.0,63.0,65.0
C. Buonaiuto,29.0,72.0,2300000.0,10000.0,77.0,72.0,68.0,44.0
A. Cubas,26.0,72.0,3000000.0,7000.0,69.0,54.0,67.0,73.0
B. Mensah,27.0,72.0,2700000.0,13000.0,77.0,70.0,71.0,62.0
Z. Ferhat,29.0,72.0,2300000.0,16000.0,80.0,63.0,70.0,31.0
R. Ledson,24.0,72.0,2900000.0,19000.0,63.0,56.0,69.0,67.0
J. BÃ¡ez,31.0,72.0,1600000.0,12000.0,70.0,55.0,65.0,72.0
U. Garcia,26.0,72.0,2700000.0,15000.0,79.0,42.0,62.0,66.0
Samu,26.0,72.0,3000000.0,5000.0,73.0,69.0,69.0,58.0
L. Paqarada,27.0,72.0,2300000.0,13000.0,76.0,47.0,69.0,65.0
San Emeterio,25.0,72.0,3100000.0,19000.0,57.0,67.0,67.0,72.0
S. Kingsley,27.0,72.0,2400000.0,6000.0,63.0,55.0,70.0,72.0
S. LovriÄ,24.0,72.0,4700000.0,11000.0,53.0,64.0,72.0,62.0
D. Furlong,26.0,72.0,2800000.0,22000.0,74.0,36.0,60.0,69.0
Sergi CanÃ³s,25.0,72.0,2900000.0,33000.0,71.0,69.0,69.0,55.0
D. MartÃ­nez,32.0,72.0,1600000.0,12000.0,74.0,65.0,65.0,67.0
J. de Wijs,27.0,72.0,2500000.0,16000.0,52.0,51.0,50.0,72.0
T. Goiginger,29.0,72.0,2300000.0,20000.0,80.0,69.0,69.0,35.0
J. Cabrera,30.0,72.0,2300000.0,10000.0,73.0,62.0,67.0,51.0
Iago,30.0,72.0,1900000.0,22000.0,47.0,30.0,48.0,72.0
Y. Bodiger,27.0,72.0,2500000.0,8000.0,52.0,58.0,69.0,70.0
K. Diks,25.0,72.0,2900000.0,15000.0,75.0,57.0,62.0,69.0
A. Pellegrino,32.0,72.0,1900000.0,5000.0,85.0,72.0,66.0,38.0
J. Dilrosun,24.0,72.0,3500000.0,8000.0,86.0,63.0,64.0,43.0
J. DompÃ©,26.0,72.0,2600000.0,12000.0,73.0,69.0,71.0,38.0
R. Coetzee,25.0,72.0,4300000.0,850.0,76.0,29.0,63.0,74.0
A. TraorÃ©,27.0,72.0,2700000.0,14000.0,78.0,62.0,73.0,61.0
RaÃºl Guti,25.0,72.0,3400000.0,14000.0,66.0,67.0,70.0,67.0
J. Duque,30.0,72.0,2000000.0,4000.0,64.0,44.0,61.0,72.0
N. FernÃ¡ndez,26.0,72.0,3100000.0,13000.0,85.0,69.0,61.0,38.0
RÃºben Lameiras,27.0,72.0,2500000.0,9000.0,76.0,69.0,69.0,42.0
J. Tagueu,28.0,72.0,2400000.0,10000.0,70.0,70.0,58.0,29.0
T. Valls,26.0,72.0,2900000.0,14000.0,66.0,66.0,73.0,64.0
K. Ehizibue,27.0,72.0,2500000.0,12000.0,88.0,57.0,63.0,66.0
M. Trauco,29.0,72.0,2100000.0,6000.0,70.0,57.0,71.0,67.0
B. Rovira,25.0,72.0,3000000.0,3000.0,59.0,57.0,65.0,74.0
Akieme,24.0,72.0,4500000.0,14000.0,79.0,44.0,57.0,68.0
E. Amor,27.0,72.0,2500000.0,5000.0,51.0,36.0,47.0,70.0
A. Cistana,25.0,72.0,2800000.0,4000.0,68.0,52.0,57.0,74.0
M. Fares,26.0,72.0,2800000.0,33000.0,75.0,63.0,67.0,67.0
R. Ãbila,32.0,72.0,1900000.0,11000.0,66.0,71.0,61.0,32.0
C. Espinoza,27.0,72.0,2500000.0,7000.0,81.0,64.0,69.0,42.0
S. HakÅ¡abanoviÄ‡,23.0,72.0,5000000.0,33000.0,76.0,67.0,69.0,29.0
G. Taylor,24.0,72.0,3300000.0,27000.0,72.0,49.0,70.0,68.0
Y. Namli,28.0,72.0,2400000.0,9000.0,76.0,60.0,71.0,45.0
B. Perlaza,30.0,72.0,2000000.0,10000.0,57.0,51.0,59.0,73.0
V. Malcorra,34.0,72.0,1100000.0,13000.0,74.0,66.0,73.0,59.0
C. Borja,29.0,72.0,2100000.0,10000.0,85.0,50.0,64.0,67.0
D. Viera,31.0,72.0,1600000.0,700.0,31.0,27.0,44.0,73.0
S. Adegbenro,26.0,72.0,2600000.0,15000.0,90.0,69.0,62.0,39.0
K. Mrabti,28.0,72.0,2400000.0,12000.0,80.0,72.0,69.0,51.0
Jeong Seung Hyun,28.0,72.0,2400000.0,9000.0,43.0,29.0,52.0,71.0
J. Kouassi,27.0,72.0,2500000.0,26000.0,87.0,69.0,59.0,31.0
M. Wanitzek,29.0,72.0,2300000.0,12000.0,70.0,65.0,74.0,56.0
C. GonzÃ¡les,29.0,72.0,2300000.0,16000.0,68.0,72.0,69.0,56.0
A. Hanche-Olsen,25.0,72.0,2900000.0,14000.0,66.0,37.0,56.0,72.0
F. Sierralta,25.0,72.0,3100000.0,26000.0,52.0,30.0,51.0,70.0
H. Moukoudi,24.0,72.0,3200000.0,750.0,43.0,32.0,52.0,72.0
Ã€lex Corredera,26.0,72.0,3000000.0,8000.0,64.0,65.0,72.0,55.0
J. Rodon,24.0,72.0,4900000.0,40000.0,58.0,29.0,49.0,74.0
E. Adebayo,24.0,72.0,3400000.0,23000.0,73.0,71.0,50.0,44.0
Gil Dias,25.0,72.0,2800000.0,10000.0,76.0,66.0,69.0,63.0
L. Dickmann,25.0,72.0,2900000.0,3000.0,71.0,53.0,63.0,69.0
M. Degenek,28.0,72.0,2200000.0,6000.0,76.0,61.0,66.0,70.0
B. Tetteh,24.0,72.0,3400000.0,13000.0,80.0,67.0,58.0,24.0
J. Ryerson,24.0,72.0,3100000.0,16000.0,70.0,59.0,64.0,69.0
H. Souttar,23.0,72.0,3200000.0,16000.0,39.0,28.0,50.0,73.0
Fran Villalba,24.0,72.0,4700000.0,7000.0,73.0,64.0,72.0,48.0
V. Nsimba,28.0,72.0,2100000.0,7000.0,83.0,58.0,64.0,65.0
F. Maouassa,23.0,72.0,3000000.0,14000.0,78.0,64.0,70.0,67.0
Heitor Gesse,26.0,72.0,2300000.0,22000.0,78.0,55.0,66.0,69.0
Fabiano Sonta,30.0,72.0,1900000.0,15000.0,46.0,41.0,56.0,74.0
Ailton ValpaÃ§os,30.0,72.0,1900000.0,23000.0,64.0,58.0,60.0,71.0
Guto Milazar,30.0,72.0,2000000.0,23000.0,73.0,40.0,61.0,70.0
Sebas Couteira,22.0,72.0,2800000.0,10000.0,74.0,62.0,72.0,42.0
KauÃ£ Abranches,26.0,72.0,2600000.0,11000.0,84.0,64.0,67.0,51.0
Gustavo Lobateiro,22.0,72.0,2800000.0,16000.0,77.0,65.0,68.0,33.0
Evandro Rochedo,26.0,72.0,2600000.0,26000.0,55.0,75.0,60.0,36.0
Teixe GaÃºcho,22.0,72.0,2400000.0,10000.0,73.0,50.0,63.0,71.0
Alminho Boas,26.0,72.0,2300000.0,22000.0,60.0,39.0,62.0,69.0
FlÃ¡vio Rebeilo,30.0,72.0,2000000.0,17000.0,79.0,44.0,61.0,68.0
Tony Muttinho,26.0,72.0,2300000.0,10000.0,69.0,48.0,64.0,70.0
Durval DutrÃ­a,30.0,72.0,2200000.0,13000.0,68.0,69.0,70.0,69.0
Deiverson Kaio,38.0,72.0,750000.0,19000.0,81.0,71.0,71.0,44.0
Ã‰dundo Oliveira,30.0,72.0,1900000.0,12000.0,56.0,46.0,59.0,73.0
Pavelinho Serra,30.0,72.0,1900000.0,12000.0,35.0,47.0,49.0,74.0
Vanderleiton,22.0,72.0,2400000.0,15000.0,62.0,46.0,57.0,72.0
Igor Madinha,26.0,72.0,2600000.0,25000.0,94.0,61.0,63.0,27.0
Timo Triano,26.0,72.0,2300000.0,18000.0,48.0,46.0,67.0,74.0
Calegarcinho,38.0,72.0,800000.0,9000.0,66.0,70.0,62.0,25.0
Vieiraldo Junior,30.0,72.0,2000000.0,10000.0,68.0,45.0,62.0,73.0
Kelivelson,26.0,72.0,2300000.0,10000.0,70.0,47.0,66.0,72.0
Leordinho Paes,22.0,72.0,2800000.0,16000.0,69.0,64.0,73.0,43.0
Alam Basteirinho,30.0,72.0,2300000.0,19000.0,62.0,65.0,72.0,36.0
FÃ¡bio Melitinho,26.0,72.0,2600000.0,17000.0,46.0,73.0,75.0,24.0
Dersan Dinis,30.0,72.0,2300000.0,27000.0,78.0,66.0,69.0,52.0
HÃ©lton Celanova,30.0,72.0,2300000.0,21000.0,53.0,76.0,60.0,22.0
GÃ©rson Noalha,30.0,72.0,2300000.0,27000.0,76.0,76.0,58.0,31.0
Vicemte TÃ³foli,26.0,72.0,2600000.0,14000.0,79.0,71.0,63.0,36.0
Leandro VivenÃ§o,22.0,72.0,2800000.0,12000.0,75.0,76.0,59.0,30.0
Hugo RubiÃ£es,26.0,72.0,2300000.0,15000.0,67.0,61.0,61.0,75.0
Lyanco,25.0,72.0,4300000.0,30000.0,64.0,36.0,52.0,73.0
E. Akbaba,29.0,72.0,2300000.0,16000.0,61.0,73.0,74.0,57.0
R. Manaj,25.0,72.0,3300000.0,31000.0,67.0,72.0,54.0,28.0
JosÃ© MachÃ­n,25.0,72.0,2900000.0,30000.0,62.0,63.0,70.0,58.0
Ã. Nagy,27.0,72.0,2500000.0,4000.0,68.0,54.0,70.0,69.0
J. MiÅ¡iÄ‡,28.0,72.0,2300000.0,800.0,58.0,69.0,76.0,65.0
Juninho,27.0,72.0,2500000.0,18000.0,71.0,35.0,51.0,71.0
H. Toledo,26.0,72.0,2800000.0,10000.0,80.0,66.0,69.0,46.0
M. Cafaro,25.0,72.0,3100000.0,12000.0,75.0,68.0,70.0,47.0
B. CufrÃ©,25.0,72.0,3200000.0,16000.0,78.0,64.0,69.0,68.0
J. Lewis,24.0,72.0,3300000.0,40000.0,74.0,53.0,65.0,69.0
Joan Sastre,25.0,72.0,3200000.0,900.0,77.0,41.0,59.0,69.0
Curro SÃ¡nchez,26.0,72.0,2800000.0,7000.0,76.0,72.0,70.0,41.0
K. Davis,24.0,72.0,3600000.0,45000.0,69.0,69.0,54.0,43.0
L. Dimata,24.0,72.0,3100000.0,13000.0,76.0,70.0,63.0,39.0
A. Å porar,28.0,72.0,2400000.0,750.0,75.0,72.0,66.0,19.0
Ãlvaro Tejero,25.0,72.0,2900000.0,7000.0,80.0,64.0,67.0,65.0
M. van Bergen,22.0,72.0,3800000.0,16000.0,86.0,66.0,65.0,27.0
I. DÃ­az,25.0,72.0,3300000.0,800.0,87.0,69.0,58.0,34.0
J. Horn,25.0,72.0,2900000.0,15000.0,83.0,34.0,59.0,68.0
R. Laryea,27.0,72.0,2300000.0,36000.0,83.0,60.0,64.0,64.0
S. Moore,25.0,72.0,3000000.0,6000.0,90.0,59.0,62.0,62.0
VÃ­tor Costa,28.0,72.0,2100000.0,8000.0,76.0,54.0,60.0,67.0
F. Ricca,27.0,72.0,2500000.0,10000.0,67.0,50.0,60.0,72.0
S. Al Ghannam,28.0,72.0,2100000.0,25000.0,81.0,59.0,69.0,66.0
D. Zabala,30.0,72.0,2300000.0,750.0,70.0,73.0,72.0,39.0
G. Acosta,33.0,72.0,1400000.0,10000.0,67.0,68.0,69.0,63.0
J. Stage,25.0,72.0,2900000.0,17000.0,71.0,65.0,69.0,71.0
I. Ugbo,23.0,72.0,3700000.0,13000.0,76.0,70.0,57.0,29.0
M. Pereira Lage,25.0,72.0,3100000.0,16000.0,72.0,71.0,70.0,61.0
M. Mohammadi,28.0,72.0,2100000.0,900.0,84.0,59.0,67.0,66.0
M. Villanueva,29.0,72.0,2000000.0,8000.0,64.0,40.0,59.0,71.0
J. Glesnes,28.0,72.0,2400000.0,6000.0,56.0,55.0,56.0,72.0
C. Adjapong,24.0,72.0,4500000.0,3000.0,71.0,51.0,66.0,70.0
H. Cuypers,25.0,72.0,3300000.0,17000.0,75.0,72.0,64.0,26.0
A. LaÃ¯douni,25.0,72.0,3300000.0,700.0,61.0,57.0,65.0,65.0
D. Okereke,24.0,72.0,3600000.0,10000.0,87.0,68.0,54.0,26.0
F. BjÃ¸rkan,23.0,72.0,3300000.0,16000.0,78.0,52.0,62.0,66.0
C. Cuesta,23.0,72.0,4400000.0,10000.0,74.0,28.0,52.0,72.0
E. CÃ¶mert,24.0,72.0,3400000.0,18000.0,74.0,49.0,59.0,70.0
Kainho Selva,22.0,72.0,2400000.0,8000.0,66.0,30.0,49.0,73.0
Caio MilaÃ§ar,26.0,72.0,2600000.0,11000.0,66.0,68.0,69.0,31.0
H. Ito,23.0,72.0,3200000.0,14000.0,84.0,54.0,65.0,73.0
O. Etebo,26.0,72.0,2600000.0,19000.0,71.0,65.0,67.0,70.0
AurÃ©lio Buta,25.0,72.0,3100000.0,18000.0,93.0,59.0,66.0,64.0
Jair Amador,32.0,72.0,1500000.0,8000.0,66.0,29.0,48.0,71.0
A. Reca,27.0,72.0,2300000.0,12000.0,78.0,57.0,66.0,67.0
K. Laifis,29.0,72.0,2000000.0,12000.0,64.0,58.0,64.0,72.0
E. Bohinen,23.0,72.0,4700000.0,16000.0,67.0,62.0,71.0,68.0
Pedro Rebocho,27.0,72.0,2500000.0,8000.0,77.0,57.0,68.0,67.0
JoÃ£o Amaral,30.0,72.0,2300000.0,8000.0,81.0,68.0,70.0,35.0
G. Suso,31.0,72.0,1600000.0,10000.0,52.0,41.0,52.0,73.0
F. StojkoviÄ‡,29.0,72.0,2100000.0,19000.0,70.0,42.0,69.0,69.0
M. Castagnetti,32.0,72.0,1600000.0,9000.0,57.0,70.0,68.0,69.0
R. Nicolaisen,25.0,72.0,3100000.0,12000.0,57.0,41.0,56.0,72.0
S. MemiÅ¡eviÄ‡,28.0,72.0,2000000.0,14000.0,59.0,50.0,55.0,69.0
Y. Salmier,29.0,72.0,2200000.0,13000.0,37.0,28.0,45.0,72.0
J. SoÃ±ora,25.0,72.0,3100000.0,8000.0,82.0,68.0,71.0,55.0
T. AlarcÃ³n,23.0,72.0,4900000.0,16000.0,62.0,52.0,62.0,70.0
I. Cardona,24.0,72.0,3400000.0,16000.0,71.0,73.0,66.0,26.0
L. Zanimacchia,23.0,72.0,3700000.0,49000.0,69.0,72.0,70.0,29.0
Ãlex Pozo,23.0,72.0,4500000.0,14000.0,75.0,68.0,67.0,67.0
JoÃ£o Bardinho,26.0,72.0,2300000.0,12000.0,71.0,58.0,71.0,68.0
M. Rog,26.0,72.0,2700000.0,4000.0,67.0,66.0,72.0,63.0
E. Cabaco,27.0,72.0,2700000.0,17000.0,49.0,41.0,48.0,73.0
A. AhmedhodÅ¾iÄ‡,23.0,72.0,4900000.0,16000.0,78.0,34.0,60.0,70.0
S. CÃ¡seres,25.0,72.0,3300000.0,10000.0,65.0,55.0,66.0,67.0
G. Arteaga,23.0,72.0,4500000.0,10000.0,80.0,53.0,67.0,67.0
M. Hongla,24.0,72.0,3700000.0,16000.0,79.0,69.0,69.0,66.0
A. Barkok,24.0,72.0,3700000.0,17000.0,76.0,65.0,68.0,55.0
A. Chatzigiovanis,25.0,72.0,3100000.0,12000.0,81.0,65.0,68.0,36.0
L. Fomba,24.0,72.0,4400000.0,5000.0,68.0,52.0,63.0,72.0
F. Ballo-TourÃ©,25.0,72.0,3000000.0,32000.0,85.0,51.0,67.0,67.0
Z. Youssouf,22.0,72.0,3700000.0,7000.0,64.0,58.0,70.0,64.0
H. Wolf,23.0,72.0,4700000.0,17000.0,76.0,68.0,67.0,36.0
O. Zubkov,25.0,72.0,2800000.0,800.0,83.0,71.0,63.0,20.0
G. Weissbeck,25.0,72.0,3400000.0,6000.0,66.0,70.0,72.0,46.0
S. Kalu,24.0,72.0,3200000.0,26000.0,85.0,64.0,67.0,34.0
G. Blanco Leschuk,30.0,72.0,2300000.0,9000.0,64.0,70.0,56.0,36.0
H. Delcroix,23.0,72.0,3400000.0,13000.0,71.0,33.0,61.0,72.0
M. Tavernier,23.0,72.0,5000000.0,28000.0,78.0,65.0,69.0,59.0
A. Sabiri,25.0,72.0,3400000.0,14000.0,60.0,69.0,69.0,56.0
P. FÃ¶rster,27.0,72.0,2500000.0,18000.0,64.0,68.0,71.0,61.0
C. Luyindama,28.0,72.0,2000000.0,38000.0,67.0,35.0,47.0,71.0
A. Franco,25.0,72.0,3300000.0,6000.0,59.0,34.0,56.0,71.0
A. HrustiÄ‡,25.0,72.0,3100000.0,18000.0,74.0,68.0,73.0,60.0
A. Zerbin,23.0,72.0,5000000.0,31000.0,76.0,67.0,67.0,36.0
P. Cutrone,24.0,72.0,3600000.0,3000.0,72.0,70.0,54.0,29.0
A. GuÃ°mundsson,25.0,72.0,3100000.0,4000.0,83.0,65.0,66.0,34.0
J. Elliott,26.0,72.0,2700000.0,6000.0,52.0,24.0,48.0,73.0
Dani Ojeda,27.0,72.0,2500000.0,8000.0,74.0,67.0,67.0,41.0
E. KÄ±lÄ±nÃ§,27.0,72.0,2500000.0,40000.0,75.0,69.0,67.0,51.0
Jeong Woo Yeong,22.0,72.0,3600000.0,18000.0,82.0,63.0,66.0,36.0
F. AndrijaÅ¡eviÄ‡,31.0,72.0,2000000.0,9000.0,69.0,71.0,66.0,52.0
R. Schmid,22.0,72.0,4800000.0,15000.0,79.0,64.0,68.0,48.0
M. Cuisance,22.0,72.0,5000000.0,4000.0,71.0,66.0,76.0,53.0
S. Lobjanidze,27.0,72.0,2500000.0,12000.0,88.0,66.0,67.0,25.0
C. Ekuban,28.0,72.0,2400000.0,5000.0,87.0,68.0,65.0,28.0
M. SÃ¡Äek,25.0,72.0,2600000.0,700.0,74.0,63.0,71.0,67.0
Pablo Santos,30.0,72.0,1900000.0,13000.0,62.0,39.0,45.0,73.0
Y. AkgÃ¼n,21.0,72.0,3800000.0,33000.0,82.0,67.0,65.0,29.0
D. Hovorka,28.0,72.0,2000000.0,900.0,65.0,39.0,63.0,71.0
T. Augello,27.0,72.0,2300000.0,13000.0,76.0,39.0,64.0,67.0
A. MatÄ›jÅ¯,26.0,72.0,2300000.0,4000.0,73.0,49.0,64.0,71.0
S. Moutoussamy,25.0,72.0,3100000.0,17000.0,68.0,58.0,68.0,72.0
T. Reijnders,23.0,72.0,3500000.0,7000.0,79.0,68.0,73.0,63.0
E. Vignato,21.0,72.0,5500000.0,16000.0,72.0,61.0,72.0,39.0
M. Melluso,24.0,72.0,3500000.0,10000.0,78.0,44.0,61.0,68.0
N. MaraÅ¡,26.0,72.0,3100000.0,17000.0,64.0,37.0,51.0,72.0
