short_name,player_positions,overall,potential,value_eur,wage_eur,nationality_name,preferred_foot,pace,shooting,passing,defending
C. Halkett,CB,71,73,2000000,5000,Scotland,Right,63,51,56,71
J. Bree,"RWB, RB",71,75,2500000,17000,England,Right,73,44,64,67
G. Esparza,LM,71,71,1800000,950,Argentina,Left,90,60,63,44
Sivera,GK,71,75,2000000,6000,Spain,Right,0,0,0,0
M. Saliakas,RB,71,74,2300000,11000,Greece,Right,75,57,66,66
S. Griesbeck,"CB, CDM",71,71,1300000,7000,Germany,Right,68,47,58,71
IvÃ¡n Villar,GK,71,77,2400000,9000,Spain,Right,0,0,0,0
Kang Sang Woo,"LB, LWB, LM",71,71,1700000,12000,Korea Republic,Right,81,63,69,64
S. Moreo,"ST, LW",71,71,1900000,4000,Italy,Right,77,66,61,47
A. Blin,"CDM, CM, CB",71,75,2400000,10000,France,Right,38,52,63,68
JosÃ© LeÃ³n,CB,71,73,2000000,7000,Spain,Left,68,36,54,71
A. BrianÃ§on,CB,71,72,1900000,6000,France,Right,48,47,56,71
C. Ortiz,"CAM, CM",71,71,1800000,11000,Argentina,Right,76,68,66,41
N. Acevedo,"CM, CDM",71,71,1200000,8000,Argentina,Right,64,55,73,63
CarraÃ§a,"RB, RWB, RM",71,71,1600000,8000,Portugal,Right,68,59,67,67
H. Arslan,"CM, CDM",71,71,1200000,12000,Turkey,Right,59,69,66,70
B. Zech,CB,71,71,1300000,7000,Austria,Right,82,29,55,73
A. Mendy,ST,71,71,1900000,7000,Guinea Bissau,Right,72,72,52,25
E. Goldaniga,CB,71,71,1600000,4000,Italy,Right,39,33,42,72
D. SzymaÅ„ski,"CM, CDM",71,72,2100000,850,Poland,Right,69,67,66,69
Y. Barbet,CB,71,71,1600000,6000,France,Left,68,51,67,71
G. AlanÃ­s,"LM, LWB",71,71,1900000,8000,Argentina,Left,77,63,66,57
V. Salazar,"RB, RWB",71,71,1600000,650,Argentina,Right,88,48,57,64
Jairo,"LWB, LB, LM",71,71,1700000,6000,Spain,Left,89,66,66,63
T. AntalyalÄ±,"CDM, CM",71,72,1900000,32000,Turkey,Right,64,63,68,67
K. Bielik,CDM,71,75,2400000,5000,Poland,Right,59,45,63,70
Murilo Henrique,"LM, CAM, CM",71,71,2000000,6000,Brazil,Right,85,64,65,45
M. Sylla,"ST, RM, LM",71,71,1900000,10000,Senegal,Right,75,70,63,37
M. Busch,RB,71,71,1800000,14000,Germany,Right,89,50,61,64
B. Whiteman,"CM, CDM",71,74,2400000,22000,England,Right,68,64,69,65
T. Mauricio,RM,71,71,1900000,6000,France,Left,80,67,65,31
S. Bastoni,"CM, LM, LB",71,73,2300000,11000,Italy,Left,66,57,71,69
Nathan,CB,71,74,2100000,5000,Brazil,Right,73,44,52,69
A. OÄŸuz,"RB, RWB",71,71,1600000,11000,Turkey,Right,76,59,67,67
Anuar,"CM, CAM, LM",71,72,2100000,14000,Morocco,Right,79,67,66,67
B. Sheaf,"CDM, CM",71,77,2700000,12000,England,Right,50,46,69,69
A. Bobichon,"CM, CAM, LM",71,72,2200000,15000,France,Right,65,73,72,56
R. Manning,"LWB, CB, LB",71,73,2100000,17000,Republic of Ireland,Left,67,60,67,67
J. Morris,"LM, ST, RM",71,71,2000000,6000,United States,Right,83,67,66,38
K. Dowell,"CAM, RM",71,76,2800000,23000,England,Left,64,68,71,40
M. Coco,"RM, RW, RWB",71,72,2200000,16000,France,Right,81,66,68,53
F. Sambueza,"RM, CAM",71,71,1200000,3000,Argentina,Right,71,64,73,37
H. ter Avest,RWB,71,75,2400000,9000,Netherlands,Right,72,53,65,66
B. Nieuwkoop,"RM, RWB, RB",71,72,2200000,11000,Netherlands,Right,71,58,69,71
M. Christiansen,"CDM, CM",71,74,2200000,7000,Germany,Right,63,50,65,70
J. Laso,"CB, RB",71,71,1300000,9000,Argentina,Right,62,41,52,68
M. MartÃ­nez,"CDM, CB",71,71,1600000,12000,Argentina,Right,62,58,63,69
S. Thioub,"RM, LM",71,71,2000000,15000,Senegal,Left,78,70,67,50
Diego GonzÃ¡lez,CB,71,74,2100000,12000,Spain,Left,66,34,62,71
M. Fraisl,GK,71,73,1600000,10000,Austria,Right,0,0,0,0
T. Salquist,CB,71,73,2000000,8000,Denmark,Right,64,43,51,70
J. Hromada,"CDM, CM",71,72,2000000,800,Slovakia,Right,77,55,64,67
D. Barlaser,CDM,71,75,2400000,10000,England,Right,51,61,71,66
N. Tripichio,"RB, CB",71,74,2300000,9000,Argentina,Right,78,50,65,64
R. Leal,"LM, RM",71,74,2500000,6000,Costa Rica,Right,70,65,69,38
A. Aguilar,GK,71,71,600000,500,Paraguay,Right,0,0,0,0
C. Arcus,RWB,71,74,2300000,10000,Haiti,Right,71,42,64,67
R. Mmaee,ST,71,75,2600000,750,Morocco,Right,76,70,54,28
B. Kuwas,RM,71,71,1800000,10000,Curacao,Left,78,72,67,32
R. Nyambe,"RWB, RB",71,75,2500000,7000,Namibia,Right,81,33,58,68
V. Kovalenko,"CM, CAM",71,73,2300000,27000,Ukraine,Right,72,70,72,57
JoÃ£o Gamboa,"CDM, CM",71,75,2400000,9000,Portugal,Right,65,58,66,68
B. Gimber,CDM,71,75,2400000,8000,Germany,Left,65,48,59,71
J. Rassoul,"LB, CB, RB",71,74,2300000,13000,Senegal,Right,78,46,60,68
Dalbert,"LWB, LM",71,71,1700000,31000,Brazil,Left,85,57,65,64
T. Skarke,"RM, LM, RWB",71,72,2200000,18000,Germany,Right,88,68,60,45
Amilton,"LM, RW, RM",71,71,1500000,12000,Brazil,Right,86,68,64,33
A. GrgiÄ‡,"CM, CDM, CAM",71,75,2600000,15000,Switzerland,Right,62,68,75,64
Jorge MiramÃ³n,"RB, RWB",71,71,975000,8000,Spain,Right,71,58,72,65
L. de la Torre,"CM, CDM, LM",71,77,2900000,13000,United States,Left,65,56,70,59
M. Vlap,"CAM, CM",71,74,2500000,9000,Netherlands,Right,58,73,69,47
M. Pedersen,LM,71,72,2200000,16000,Denmark,Left,84,52,65,66
Gerard ValentÃ­n,"RM, RB",71,71,1900000,8000,Spain,Right,91,53,59,60
C. DÃ¡jome,"LM, ST",71,71,1900000,6000,Colombia,Right,82,63,63,54
J. Huth,GK,71,72,1500000,11000,Germany,Right,0,0,0,0
O. Gonzalez,CB,71,76,2600000,10000,Cameroon,Right,59,37,40,70
Vanderlei CÃµembra,"RB, LB",71,71,2000000,9000,Brazil,Right,87,36,60,64
Jorge Carvallinho,"CB, LB",71,71,1800000,10000,Brazil,Left,59,54,58,71
Alex das Freitas,"CDM, CM",71,71,2000000,9000,Brazil,Right,66,55,59,72
Antonaldo Vaz,LB,71,71,2000000,17000,Brazil,Left,71,38,62,68
Carleto Costinha,"CAM, ST, RM",71,71,1800000,15000,Brazil,Right,82,63,71,38
Mauro Riboas,CAM,71,71,1800000,11000,Brazil,Right,66,61,70,39
Thiago Alminxa,"ST, RW",71,71,1800000,12000,Brazil,Right,82,67,62,25
Walter Silvieiro,ST,71,71,1800000,10000,Brazil,Right,72,76,61,36
Ailton Cardenhas,GK,71,71,1600000,10000,Brazil,Right,0,0,0,0
Eminho Moringa,CB,71,71,600000,16000,Brazil,Left,63,50,62,71
Wiliam Santinho,GK,71,74,1900000,11000,Brazil,Right,0,0,0,0
Wagner Orsinho,LB,71,71,2000000,12000,Brazil,Left,77,57,68,68
Luisinho Conradi,LB,71,71,2000000,7000,Brazil,Left,69,56,66,68
Edsinho Torres,LB,71,71,1900000,9000,Brazil,Right,70,54,60,67
Germano Monico,CM,71,71,875000,18000,Brazil,Right,57,69,73,64
Daguinho Parrela,"RB, RWB",71,71,1900000,15000,Brazil,Right,75,44,68,68
Bernardo Motinho,"RB, RM",71,71,1600000,9000,Brazil,Right,72,52,66,69
Alexandre Frandeira,"CB, CDM",71,71,1900000,7000,Brazil,Right,49,44,53,70
Dinei Peixo,"RW, RM",71,71,2000000,19000,Brazil,Right,73,66,69,58
Pedrildo Rocha,"LW, LM",71,71,1800000,19000,Brazil,Left,77,71,66,43
JairÃ£o ZezÃ©,"CAM, CM",71,71,2200000,8000,Brazil,Right,76,54,73,41
JessÃ© Ledeiro,"CAM, CF",71,71,2200000,10000,Brazil,Right,69,63,73,37
AdriÃ¡n BurnabÃ£o,"CAM, CF",71,71,2000000,11000,Brazil,Right,62,65,74,24
Gus Outomouro,"ST, LM",71,71,2100000,18000,Brazil,Right,71,72,68,28
Rafanilton Vilela,"ST, CF, CAM",71,71,900000,24000,Brazil,Right,82,63,60,25
Cryzan,"RW, ST",71,71,2100000,14000,Brazil,Right,76,69,69,22
G. Cimirot,"CDM, CM",71,71,1600000,10000,Bosnia and Herzegovina,Right,63,61,68,67
M. Santos,ST,71,71,1900000,12000,Uruguay,Right,76,70,61,40
A. Ba Loua,RM,71,72,2200000,7000,CÃ´te d'Ivoire,Left,88,60,67,27
A. Marchesano,CAM,71,71,1600000,12000,Switzerland,Right,68,66,71,48
M. KonÃ©,ST,71,75,2600000,6000,Senegal,Right,92,68,58,32
M. PantoviÄ‡,"CAM, CM",71,73,2400000,18000,Serbia,Right,76,69,68,40
L. Kleinheisler,"CAM, CM",71,71,,,Hungary,Right,74,70,68,60
I. Diallo,"LB, CB",71,74,2300000,11000,CÃ´te d'Ivoire,Left,69,38,54,70
S. Wharton,CB,71,76,2600000,21000,England,Left,63,32,50,70
J. LucumÃ­,"LM, LW, RW",71,71,2000000,3000,Colombia,Right,77,67,66,24
F. Reese,"LM, LW, RW",71,74,2600000,11000,Germany,Right,86,64,66,44
E. Riis,ST,71,75,2700000,21000,Denmark,Right,76,70,53,28
Ontiveros,"LM, LW",71,74,2600000,5000,Spain,Right,71,72,71,35
A. Ivan,"LM, ST",71,74,2500000,10000,Romania,Right,84,70,65,34
MiguelÃ³n,RB,71,74,2300000,11000,Spain,Right,76,51,64,66
D. Sundgren,"RWB, CB",71,71,,,Sweden,Right,72,50,59,67
J. RÃ­os,"CDM, CM",71,71,1600000,3000,Colombia,Right,64,54,61,70
R. Matarrita,"LB, LM, LWB",71,71,1800000,5000,Costa Rica,Left,78,49,65,68
MaurÃ­cio,CB,71,71,1500000,10000,Brazil,Right,58,43,53,71
A. Dijksteel,"CB, RWB, RB",71,75,2300000,16000,Netherlands,Right,77,34,57,71
L. Merolla,CB,71,74,2100000,9000,Argentina,Left,47,26,49,73
E. Cobbaut,CB,71,76,2600000,3000,Belgium,Left,68,41,67,70
S. JuklerÃ¸d,LB,71,71,1700000,4000,Norway,Left,83,68,68,62
C. Awaziem,CB,71,78,3400000,650,Nigeria,Right,72,39,45,71
Bernardo,"LB, CB",71,72,2000000,16000,Brazil,Left,71,53,62,70
F. Troyansky,"ST, LM",71,76,2800000,10000,Argentina,Left,75,70,69,35
K. Miyoshi,"RW, CAM, LW",71,74,2500000,14000,Japan,Left,76,67,69,46
C. Mepham,CB,71,74,2300000,22000,Wales,Right,58,37,55,72
P. Tietz,ST,71,75,2700000,13000,Germany,Right,66,71,54,33
R. Gumny,"RWB, CB, RM",71,76,2600000,13000,Poland,Right,74,41,60,67
R. McGree,"CM, CAM",71,78,3700000,16000,Australia,Left,79,69,69,63
B. Atik,"LW, ST, CAM",71,71,2000000,10000,Turkey,Right,75,68,68,39
A. Arias,"CM, CDM, CAM",71,74,2400000,650,Peru,Right,60,65,68,73
Y. MÃ©Ã¯tÃ©,"ST, RM",71,74,2500000,15000,CÃ´te d'Ivoire,Left,79,72,56,49
Thiago Martins,CB,71,74,2100000,5000,Brazil,Right,76,41,57,71
A. Lucoqui,LWB,71,74,2400000,13000,Angola,Left,75,45,59,67
Ronaldo Vieira,"CDM, CM",71,76,2600000,10000,England,Right,73,58,65,67
Eduardo Fonseira,GK,71,71,1600000,11000,Brazil,Right,0,0,0,0
Jony Reitosa,RB,71,71,1600000,9000,Brazil,Right,74,42,54,67
RÃ´mulo Calsede,ST,71,71,2200000,21000,Brazil,Left,72,72,60,32
A. Ralston,RB,71,78,3600000,24000,Scotland,Right,76,58,66,67
D. Sinik,"LW, LM, CAM",71,76,2800000,12000,Turkey,Right,80,64,65,42
S. Van der Heyden,CB,71,76,2600000,9000,Belgium,Left,61,34,57,72
A. Hohberg,"LW, CAM",71,71,1800000,750,Peru,Right,75,69,70,32
S. Surridge,ST,71,77,3000000,33000,England,Right,69,71,55,28
S. Breitkreuz,"CB, RB",71,71,1500000,9000,Germany,Right,62,56,46,72
M. Maolida,"LM, ST",71,76,2800000,16000,France,Right,77,67,62,24
C. Quintana,CB,71,71,600000,9000,Argentina,Left,48,37,45,71
O. El Hajjam,"CB, RB, RWB",71,71,1300000,5000,Morocco,Right,65,45,65,72
B. Dibassy,"CB, LB",71,71,1200000,5000,Mali,Left,71,54,61,71
B. Jatta,"RW, RM, LW",71,73,2400000,10000,Gambia,Right,87,69,64,39
S. PÃ©rez,GK,71,71,1000000,6000,Chile,Right,0,0,0,0
I. Doumbia,"CDM, CM",71,75,2400000,7000,CÃ´te d'Ivoire,Right,65,56,67,66
K. Pedersen,"LB, CB",71,71,1800000,16000,Denmark,Left,64,37,57,69
H. Mendes,"RB, CB",71,74,2400000,13000,France,Right,75,42,61,70
M. Besuschkow,"CM, CDM",71,75,2600000,17000,Germany,Right,43,60,70,67
L. Amani,CM,71,75,2700000,10000,CÃ´te d'Ivoire,Right,77,65,67,63
J. Maja,ST,71,77,3000000,6000,Nigeria,Right,76,70,62,28
M. Bero,"CM, CAM",71,72,2200000,11000,Slovakia,Right,72,71,69,67
D. O'Shea,"CB, RB",71,78,3500000,17000,Republic of Ireland,Right,61,33,54,72
R. Majecki,GK,71,78,3200000,17000,Poland,Right,0,0,0,0
D. Benlamri,CB,71,71,1200000,9000,Algeria,Right,53,35,51,70
D. Bronn,"CB, RB",71,73,2000000,15000,Tunisia,Right,63,61,67,72
G. Makouta,"CM, CAM",71,76,2800000,9000,Congo,Right,65,68,66,64
B. Ã–zcan,"CM, CAM, LM",71,78,3700000,19000,Turkey,Right,70,64,72,55
R. Guitane,"RM, CAM, CM",71,79,4200000,13000,France,Left,76,58,66,31
K. Duncan,"RWB, RM, RB",71,75,2500000,7000,United States,Right,89,46,58,65
D. Diaw,ST,71,71,1800000,30000,Italy,Right,82,69,55,27
O. Ejaria,"LM, CM, CAM",71,76,2800000,12000,England,Right,60,63,67,64
JoÃ£o Basso,"CB, CDM",71,76,2500000,5000,Brazil,Right,54,51,55,72
Y. Valery,"RB, RWB",71,79,4000000,12000,France,Right,69,52,60,69
C. Michelin,"RB, RWB",71,73,2200000,750,France,Right,70,50,66,66
S. Lammers,ST,71,76,2800000,28000,Netherlands,Left,70,73,59,34
Ãlvaro,GK,71,78,3200000,5000,Spain,Left,0,0,0,0
S. Alzate,"CM, CDM",71,78,3700000,31000,Colombia,Right,68,60,69,62
Guilherme Schettine,ST,71,72,2200000,10000,Brazil,Right,65,72,59,25
C. Stengs,"RW, RM, CAM",71,78,3800000,23000,Netherlands,Left,74,65,70,33
S. Shashoua,"ST, CAM, RM",71,80,4200000,7000,England,Right,89,71,64,39
L. GonzÃ¡lez,"RM, CAM, LM",71,71,1600000,3000,Venezuela,Right,76,66,68,37
A. Tanaka,"CDM, CM",71,76,2600000,12000,Japan,Right,67,66,68,68
J. Ebobisse,"ST, RM",71,75,2600000,6000,Cameroon,Left,77,68,62,33
N. Reniero,ST,71,71,2000000,13000,Argentina,Right,77,69,63,32
A. Onaiwu,ST,71,74,2500000,14000,Japan,Right,84,70,62,38
A. Bodart,GK,71,76,2300000,7000,Belgium,Right,0,0,0,0
S. Twine,LW,71,78,3800000,25000,England,Right,83,69,69,58
Y. Neyou,"CDM, CM",71,76,2500000,6000,Cameroon,Right,66,60,65,70
A. Pascanu,CB,71,79,3900000,5000,Romania,Right,71,39,50,71
R. Petretta,LB,71,75,2400000,9000,Italy,Left,80,36,66,66
M. Andersen,"CM, CDM",71,77,2900000,3000,Denmark,Right,68,61,69,63
Y. GuzmÃ¡n,"CAM, RM",71,78,3800000,3000,Colombia,Right,74,65,69,29
L. Blondel,RB,71,74,2300000,7000,Argentina,Right,78,61,60,67
E. Owusu,"CDM, CM",71,75,2400000,11000,Ghana,Right,67,52,64,68
E. MaÅ¡oviÄ‡,"CB, CDM",71,76,2600000,12000,Serbia,Right,55,30,48,74
I. Chair,CAM,71,77,3000000,19000,Morocco,Right,75,66,68,31
M. Heyer,"RB, CDM, CB",71,72,2000000,9000,Germany,Right,67,55,62,70
S. Vasiliadis,"CM, CDM",71,75,2700000,11000,Greece,Right,68,61,67,65
M. NadÃ©,CB,71,79,3900000,5000,France,Right,35,30,44,70
Pedro SÃ¡,"CDM, CM",71,71,1600000,6000,Portugal,Left,61,55,62,68
M. Kaye,"CM, CDM",71,72,2100000,6000,Canada,Left,71,54,66,68
J. Balkovec,"LB, CB, RB",71,71,1800000,13000,Slovenia,Left,72,53,64,68
K. Boateng,CB,71,77,2600000,4000,Togo,Right,69,41,43,71
M. Ullmann,LB,71,74,2300000,3000,Austria,Left,86,60,63,63
R. Schallenberg,"CDM, CM",71,76,2600000,11000,Germany,Right,60,50,63,68
C. Ganea,LB,71,71,1600000,550,Romania,Left,74,66,70,65
Jordi Mboula,"RM, LM",71,80,4200000,14000,Spain,Right,87,66,62,32
J. GonzÃ¡lez,"CM, CDM",71,77,2900000,5000,Mexico,Right,71,58,66,70
P. Mazzocchi,"RWB, RM, RB",71,72,2000000,15000,Italy,Right,76,56,65,67
K. Galanopoulos,"CM, CDM",71,76,2800000,750,Greece,Right,76,71,68,69
Danilo,ST,71,76,2900000,7000,Brazil,Right,77,72,58,22
N. KÃ¼hn,"RM, ST, CAM",71,77,3000000,16000,Germany,Left,88,62,61,24
D. Man,"RM, LM, RW",71,77,3000000,3000,Romania,Left,88,68,65,45
Ricardo Mangas,"LWB, LB, CB",71,78,3600000,8000,Portugal,Left,71,46,61,66
L. Å tulac,"CDM, CM",71,73,2000000,7000,Slovenia,Right,68,61,68,69
L. JuliÅ¡,ST,71,71,2000000,800,Czech Republic,Right,82,69,60,29
L. Morales,"CB, RB",71,71,1300000,10000,Argentina,Right,66,33,52,72
M. Ã‡etin,CB,71,77,2600000,15000,Turkey,Right,61,44,54,71
L. Reis,"CM, CDM",71,78,3800000,9000,Netherlands,Right,75,59,67,67
M. O'Riley,"CM, CAM",71,80,4200000,23000,Denmark,Left,67,65,71,58
M. Tramoni,"LM, LW",71,79,4200000,3000,France,Right,80,63,68,48
M. Payero,CM,71,78,3700000,16000,Argentina,Right,70,59,73,61
A. Meyer,GK,71,71,1000000,18000,Germany,Right,0,0,0,0
M. Carabajal,"CB, RB, CDM",71,77,2600000,650,Argentina,Right,71,43,63,70
J. Paintsil,"LW, RW, ST",71,76,2800000,10000,Ghana,Right,89,67,60,33
A. Al Amri,CB,71,76,2500000,20000,Saudi Arabia,Right,70,28,47,68
J. Deminguet,"CM, CDM",71,77,2900000,5000,France,Left,72,63,71,62
O. MoruÈ›an,"RM, RW, CM",71,77,3000000,3000,Romania,Left,73,70,69,46
Toni Moya,"CM, CDM",71,78,3700000,7000,Spain,Right,55,64,64,64
P. Pfeiffer,CB,71,77,2700000,11000,Germany,Right,76,33,44,71
H. De La Fuente,RB,71,75,2400000,6000,Argentina,Right,84,60,61,63
A. Tagnaouti,GK,71,75,,,Morocco,Right,0,0,0,0
Tiago SÃ¡,GK,71,75,2000000,7000,Portugal,Right,0,0,0,0
Nanu,"RB, RM",71,71,1700000,8000,Guinea Bissau,Right,86,61,63,66
M. Ashimeru,"CM, CAM, CDM",71,76,2800000,12000,Ghana,Right,73,65,69,62
Ricardo Ryller,"CDM, CM",71,71,1600000,16000,Brazil,Right,62,63,66,66
Neto Borges,LB,71,74,2300000,11000,Brazil,Left,72,50,64,66
M. McKenzie,CB,71,78,3500000,9000,United States,Right,78,36,48,71
E. Kayembe,"CDM, CM",71,79,3900000,21000,Congo DR,Left,72,61,66,66
C. CÃ¡ndido,"LB, LW, LM",71,72,2000000,550,Uruguay,Left,85,56,66,67
Jorge Fernandes,CB,71,75,2300000,6000,Portugal,Right,37,34,47,70
B. Hussein,CM,71,78,3800000,5000,Sweden,Right,68,58,70,64
AndrÃ© Silva,"ST, LW",71,75,2600000,8000,Brazil,Left,76,70,65,32
S. van den Berg,CB,71,81,3800000,34000,Netherlands,Right,60,34,62,72
S. GÃ³mez,"CDM, CM",71,76,2500000,3000,Colombia,Left,63,62,64,69
F. Plach,GK,71,71,1200000,6000,Slovakia,Left,0,0,0,0
B. Bye,RB,71,74,2300000,5000,United States,Right,77,58,61,68
J. Vagnoman,"RB, RM, LB",71,79,4000000,10000,Germany,Right,84,46,61,66
E. Aguilar,"RW, CM, ST",71,71,1800000,5000,Costa Rica,Left,64,65,77,46
J. Buckley,"CAM, CM",71,79,4200000,23000,England,Right,77,60,67,65
F. Dahmen,GK,71,79,3600000,10000,Germany,Right,0,0,0,0
N. Bancu,"LB, LWB",71,71,1600000,10000,Romania,Left,79,66,67,64
Alberto Soro,"RM, ST, LM",71,80,4200000,7000,Spain,Left,77,63,69,44
T. BÄƒluÈ›Äƒ,"CDM, CM",71,75,2400000,6000,Romania,Right,59,51,57,70
N. Williams,"RB, RWB",71,82,4000000,23000,Wales,Right,73,45,64,67
L. Ramazani,"RM, LM, ST",71,81,4200000,12000,Belgium,Right,87,65,63,33
J. Ekkelenkamp,"CAM, CM",71,78,3800000,12000,Netherlands,Right,58,67,67,60
K. Agudelo,"RW, CAM",71,77,3000000,11000,Colombia,Left,74,61,67,50
Dani GÃ³mez,ST,71,76,2900000,8000,Spain,Right,78,71,62,37
F. Agu,"RWB, LWB",71,80,4000000,12000,Germany,Right,84,47,61,62
AndrÃ© Vidigal,"LM, RM",71,77,3000000,7000,Portugal,Right,83,64,62,27
E. Loiodice,"CDM, CM",71,83,4400000,5000,France,Left,66,59,67,65
M. MÃ¼ldÃ¼r,RB,71,77,2800000,15000,Turkey,Right,77,49,60,67
Mujaid,"CB, RB",71,82,3900000,9000,Spain,Right,73,26,49,72
K. Lewis-Potter,"LW, LM, ST",71,80,4200000,23000,England,Right,81,67,64,36
R. Giles,"LWB, LW",71,78,3600000,33000,England,Left,89,56,67,58
A. Vallci,"RB, CB, LB",71,72,2000000,7000,Austria,Right,73,57,60,71
C. TiÃ©hi,CDM,71,75,2400000,650,CÃ´te d'Ivoire,Right,65,47,64,70
Fran GÃ¡mez,RB,71,71,1600000,7000,Spain,Right,83,52,61,66
IÃ±igo Vicente,LM,71,77,3000000,6000,Spain,Right,74,65,70,47
Mailson,GK,71,75,2000000,11000,Brazil,Right,0,0,0,0
Gonzalo VerdÃº,CB,71,71,900000,12000,Spain,Right,51,53,58,71
Lucas Ãfrico,CB,71,72,1900000,6000,Brazil,Left,52,41,56,70
JesÃºs JimÃ©nez,ST,71,71,1900000,7000,Spain,Right,80,71,65,37
L. Pfeiffer,ST,71,73,2400000,16000,Germany,Right,53,70,50,33
F. BenkoviÄ‡,CB,71,75,2400000,9000,Croatia,Right,58,44,54,71
G. Fuentes,LB,71,76,2600000,6000,Colombia,Left,82,49,61,65
T. BorevkoviÄ‡,CB,71,76,2500000,650,Croatia,Right,44,30,46,72
M. Burda,CB,71,72,1900000,600,Ukraine,Right,64,23,43,72
F. Sakala,"ST, LW",71,74,2500000,32000,Zambia,Right,90,71,60,31
M. Camara,CB,71,75,2400000,11000,Guinea,Right,73,35,51,71
K. Behrens,ST,71,71,1600000,20000,Germany,Right,72,71,51,29
M. JevtoviÄ‡,"CDM, CB, CM",71,71,1600000,11000,Serbia,Right,48,62,64,72
S. Ferreira,ST,71,78,3800000,6000,Paraguay,Right,71,73,57,32
L. Pons,ST,71,71,1500000,3000,Argentina,Right,55,73,55,23
D. Palacios,LB,71,79,4000000,5000,Ecuador,Left,75,33,63,67
M. Bauer,CB,71,78,3500000,13000,Germany,Right,54,26,48,73
V. Supriaha,ST,71,78,3800000,650,Ukraine,Right,85,70,51,19
C. Sierra,"CM, CDM",71,71,1500000,2000,Colombia,Left,61,74,71,63
S. Sosa,"CDM, CM",71,80,3900000,5000,Argentina,Right,59,56,61,69
M. Hermansen,GK,71,80,3600000,5000,Denmark,Right,0,0,0,0
E. Bullaude,"CAM, CM, RM",71,80,4200000,6000,Argentina,Right,79,69,64,32
L. BeltrÃ¡n,"ST, RW",71,79,4200000,9000,Argentina,Right,72,68,64,40
M. Weigandt,RB,71,79,4000000,9000,Argentina,Right,77,39,53,67
L. AgoumÃ©,"CDM, CM",71,82,3900000,22000,France,Right,64,54,68,67
S. Abdulhamid,"RB, CB, CDM",71,77,2800000,18000,Saudi Arabia,Right,89,43,58,64
A. Bareiro,ST,71,74,2500000,10000,Paraguay,Right,67,68,55,36
D. Jones,"LB, RB",71,76,2600000,5000,United States,Right,82,56,65,66
G. Gaetano,"CAM, CM",71,79,4200000,25000,Italy,Right,63,71,69,49
K. Eissa,GK,71,71,925000,650,United Arab Emirates,Right,0,0,0,0
D. St. Clair,GK,71,77,2300000,4000,Canada,Left,0,0,0,0
A. Pelmard,"CB, LB",71,79,3900000,10000,France,Right,81,35,61,72
K. Miller,"CB, LB",71,75,2300000,5000,Canada,Left,81,37,58,69
V. MihÄƒilÄƒ,"LM, LW",71,77,3000000,3000,Romania,Right,86,64,64,33
S. Boey,"RB, RWB",71,76,2700000,23000,Cameroon,Right,85,43,59,67
Z. Aboukhlal,"RW, LW",71,80,4200000,12000,Morocco,Left,86,67,63,41
J. Dina Ebimbe,"RM, CM",71,78,3800000,29000,France,Right,79,60,67,67
Sergio Camello,"ST, CAM",71,82,4200000,23000,Spain,Right,69,73,58,27
H. DerviÅŸoÄŸlu,"ST, CF",71,78,3800000,27000,Turkey,Right,75,70,64,36
M. Ekpiteta,CB,71,74,2200000,9000,England,Right,69,29,48,71
R. Carstensen,RB,71,81,4000000,7000,Denmark,Right,85,48,64,63
Sergio Ruiz,"CDM, CM, CAM",71,73,2000000,7000,Spain,Right,62,62,65,66
D. Stipica,GK,71,71,1000000,6000,Croatia,Right,0,0,0,0
D. JoveljiÄ‡,ST,71,78,3800000,6000,Serbia,Right,72,71,63,31
C. Vega,"CDM, CM",71,71,1600000,9000,Argentina,Right,68,61,66,68
M. MeyerhÃ¶fer,"RB, RM",71,72,2000000,7000,Germany,Right,66,40,61,67
T. KrauÃŸ,"CM, CDM",71,79,4200000,21000,Germany,Right,71,66,64,67
F. Kunze,"CDM, CM",71,76,2600000,14000,Germany,Right,53,40,57,74
Y. Demir,"RW, CAM, RM",71,82,4000000,23000,Austria,Left,82,66,65,19
A. Colpani,CM,71,79,4100000,24000,Italy,Left,68,62,71,62
K. PiÄ…tkowski,CB,71,79,3900000,13000,Poland,Right,81,47,64,69
N. Colombo,CB,71,81,3900000,8000,Argentina,Right,66,39,51,71
JoÃ£o Pedro,"ST, LM",71,84,4500000,22000,Brazil,Right,77,69,61,25
S. Abdul Samed,"CDM, CM",71,75,2500000,15000,Ghana,Right,50,47,60,69
A. Rogel,CB,71,78,3500000,15000,Uruguay,Right,46,33,48,71
Riccieli,CB,71,80,3900000,5000,Brazil,Right,53,33,49,71
B. Rollheiser,"LM, CAM, ST",71,77,3000000,8000,Argentina,Left,80,67,66,36
I. Jakobs,"LM, LB",71,79,4200000,24000,Germany,Left,85,59,60,65
J. KamiÅ„ski,LM,71,83,4500000,19000,Poland,Right,89,65,62,47
S. Alexandropoulos,"CDM, CM",71,81,3900000,6000,Greece,Right,76,60,63,68
Fer NiÃ±o,ST,71,80,4200000,5000,Spain,Right,65,72,59,35
A. Abdi,LWB,71,71,1700000,6000,Tunisia,Left,86,60,66,61
A. Flips,"RM, LM, CAM",71,78,3800000,13000,France,Right,70,68,68,43
L. Morales,GK,71,81,3600000,7000,Argentina,Right,0,0,0,0
